id,category,name,note
1,Анализаторы,Анализатор спектра R3465,
2,Анализаторы,Анализатор спектра СК4М-18,
3,Анализаторы,Анализатор спектра Aaronia 250XA-6,
4,Анализаторы,Анализатор спектра портативные Signal Hound USB-SA44B,
5,Анализаторы,Анализатор фазовых шумов PNA20,
6,Анализаторы,Анализатор цепей векторные Р4М-18,
7,Анализаторы,Анализатор цепей векторные ZNA43,
8,Генераторы,Генератор сигналов HMC-T2000,
9,Генераторы,Генератор сигналов векторные Aaronia V6-VSG120X,
10,Генераторы,Генератор сигналов скалярные PLG20-12F,
11,Генераторы,Генератор сигналов скалярные Advantex SG8(до 21ГГц),этот до 21 ГГц
12,Генераторы,Генератор сигналов скалярные N5183B(до 40ГГц),этот до 40 ГГц
13,Генераторы,Генератор сигналов скалярные Advantex SG8(до 8ГГц),этот до 8 ГГц
14,Генераторы,Генератор сигналов специальной формы SFG-2110(№1),
15,Генераторы,Генератор сигналов специальной формы SFG-2110(№2),
16,Зондовая станция,Зондовая станция ЭМ6030,
17,Осцилографы, Осциллограф модульный U2702A,
18,Осцилографы, Осциллограф цифровой DSO-X 3032A,
19,Осцилографы, Осциллограф цифровые DSO-X 3034A,
20,Осцилографы, Осциллограф цифровые MSOX3102A,
21,Осцилографы,Осциллограф DSO4254C,
22,Осцилографы,Осциллограф цифровой MSO5104,
23,Прочее изм. оборудование,Измеритель мощности СВЧ М3М-18,
24,Прочее изм. оборудование,Частотомер универсальные GFC-8270H,
25,Стенд,Стенд большой мощности,
